old_url,new_url,old_name,new_name,match_type,similarity,sku
"/product/packing-slip-envelope-blank-7-x-10","https://keypak.tbkdev.com/product/packing-slip-envelope-blank-3/","packing-slip-envelope-blank-7-x-10","packing-slip-envelope-blank","sku_match","1.00","LP.23050.3"
"/product/packing-slip-envelope-blank-12-x-15","https://keypak.tbkdev.com/product/packing-slip-envelope-blank-4/","packing-slip-envelope-blank-12-x-15","packing-slip-envelope-blank","sku_match","1.00","LP.23100.4"
"/product/packing-slip-envelope-bilingual-7-5-x-5-5","https://keypak.tbkdev.com/product/packing-slip-envelope-bilingual/","packing-slip-envelope-bilingual-7-5-x-5","packing-slip-envelope-bilingual","sku_match","1.00","LP.24612.3"
"/product/packing-slip-envelope-invoice-enclosed-4-5-x-5-5","https://keypak.tbkdev.com/product/packing-slip-envelope-invoice-enclosed/","packing-slip-envelope-invoice-enclosed-4-5-x-5","packing-slip-envelope-invoice-enclosed","sku_match","1.00","LP.31053.3"
"/product/packing-slip-envelope-red-endload-4-x-7-5","https://keypak.tbkdev.com/product/packing-slip-envelope-red-endload/","packing-slip-envelope-red-endload-4-x-7","packing-slip-envelope-red-endload","sku_match","1.00","LP.41006.3"
"/product/packing-slip-envelope-blank-backload-7-5-x-5-5","https://keypak.tbkdev.com/product/packing-slip-envelope-blank-backload-2/","packing-slip-envelope-blank-backload-7-5-x-5","packing-slip-envelope-blank-backload","sku_match","1.00","LP.41900.9"
"/product/plastic-twine-700-7000","https://keypak.tbkdev.com/product/plastic-twine/","plastic-twine-700-7000","plastic-twine","sku_match","1.00","WT.17000.3"
"/product/monofilament-twine-m180-7000","https://keypak.tbkdev.com/product/monofilament-twine/","monofilament-twine-m180-7000","monofilament-twine","sku_match","1.00","WT.17010.3"
"/product/1-4-xstcrp-2115-staple","https://keypak.tbkdev.com/product/1-4-staples/","1-4-xstcrp-2115-staple","1-4-staples","sku_match","1.00","RA.11415.3"
"/product/73-06-ind-1-4-leg-staple","https://keypak.tbkdev.com/product/leg-staple/","73-06-ind-1-4-leg-staple","leg-staple","sku_match","1.00","RA.42810.7"
"/product/73-10-ind-3-8-leg-staple","https://keypak.tbkdev.com/product/leg-staple-2/","73-10-ind-3-8-leg-staple","leg-staple","sku_match","1.00","RA.43810.7"
"/product/73-12-ind-1-2-leg-staple","https://keypak.tbkdev.com/product/leg-staple-3/","73-12-ind-1-2-leg-staple","leg-staple","sku_match","1.00","RA.44810.7"
"/product/a-11-9-3-8-galvanized-staple","https://keypak.tbkdev.com/product/galvanized-staple/","a-11-9-3vanized-staple","galvanized-staple","sku_match","1.00","RA.53819.7"
"/product/standard-9mm-olfa-cutter-180","https://keypak.tbkdev.com/product/standard-olfa-cutter/","standard-9mm-olfa-cutter-180","standard-olfa-cutter","sku_match","1.00","TK.10018.2"
"/product/small-plastic-cutter-metal-body-9mm","https://keypak.tbkdev.com/product/small-plastic-cutter/","small-plastic-cutter-metal-body-9mm","small-plastic-cutter","sku_match","1.00","TK.10035.0"
"/product/utility-knife-plastic-body-18mm","https://keypak.tbkdev.com/product/plastic-utility-knife/","utility-knife-plastic-body-18mm","plastic-utility-knife","sku_match","1.00","TK.10040.1"
"/product/small-plastic-cutter-w-rubber-grip-plastic-body-9mm","https://keypak.tbkdev.com/product/small-plastic-cutter-with-rubber-grip/","small-plastic-cutter-w-rubber-grip-plastic-body-9mm","small-plastic-cutter-with-rubber-grip","sku_match","1.00","TK.10050.1"
"/product/plastic-cutter-w-rubber-grip-plastic-body-18mm","https://keypak.tbkdev.com/product/plastic-cutter-with-rubber-grip/","plastic-cutter-w-rubber-grip-plastic-body-18mm","plastic-cutter-with-rubber-grip","sku_match","1.00","TK.10060.1"
"/product/snap-off-blade-9mm","https://keypak.tbkdev.com/product/snap-off-blade/","snap-off-blade-9mm","snap-off-blade","sku_match","1.00","TK.10070.1"
"/product/snap-off-blade-18mm","https://keypak.tbkdev.com/product/snap-off-blade-2/","snap-off-blade-18mm","snap-off-blade","sku_match","1.00","TK.10080.1"
"/product/ol-olfa-etended-depth-utility-knife-18mm","https://keypak.tbkdev.com/product/ol-olfa-extended-depth-utility-knife/","ol-olfa-etended-depth-utility-knife-18mm","ol-olfa-extended-depth-utility-knife","sku_match","1.00","TK.10311.2"
"/product/h1-heavy-duty-25mm","https://keypak.tbkdev.com/product/heavy-duty/","h1-heavy-duty-25mm","heavy-duty","sku_match","1.00","TK.10801.2"
"/product/nh-1-handsaver-olfa-cutter-25mm","https://keypak.tbkdev.com/product/handsaver-olfa-cutter/","nh-1-handsaver-olfa-cutter-25mm","handsaver-olfa-cutter","sku_match","1.00","TK.10811.2"
"/product/l1-heavy-duty-olfa-cutter-18mm","https://keypak.tbkdev.com/product/heavy-duty-olfa-cutter/","l1-heavy-duty-olfa-cutter-18mm","heavy-duty-olfa-cutter","sku_match","1.00","TK.11310.2"
"/product/sk-4-olfa-safety-knife-18mm","https://keypak.tbkdev.com/product/olfa-safety-knife/","sk-4-olfa-safety-knife-18mm","olfa-safety-knife","sku_match","1.00","TK.12214.2"
"/product/retractable-utility-knife","https://keypak.tbkdev.com/product/retractable-utility-knife/","retractable-utility-knife","retractable-utility-knife","sku_match","1.00","TK.31200.9"
"/product/utility-knife-blade-043-uc-blade","https://keypak.tbkdev.com/product/utility-knife-blade/","utility-knife-blade-043-uc-blade","utility-knife-blade","sku_match","1.00","TK.70010.8"
"/product/olfa-blades-ab-10b-9mm-snap-off","https://keypak.tbkdev.com/product/olfa-blades-9mm-snap-off/","olfa-blades-ab-10b-9mm-snap-off","olfa-blades-9mm-snap-off","sku_match","1.00","TK.70110.2"
"/product/olfa-blades-ab-50b-9mm-snap-off","https://keypak.tbkdev.com/product/olfa-blades-9mm-snap-off-2/","olfa-blades-ab-50b-9mm-snap-off","olfa-blades-9mm-snap-off","sku_match","1.00","TK.70150.2"
"/product/hb-20b-utility-blade-25mm","https://keypak.tbkdev.com/product/utility-blade/","hb-20b-utility-blade-25mm","utility-blade","sku_match","1.00","TK.70820.2"
"/product/hb-20b-ultrama-utility-blade-25mm","https://keypak.tbkdev.com/product/ultra-sharp-utility-blade/","hb-20b-ultrama-utility-blade-25mm","ultra-sharp-utility-blade","sku_match","1.00","TK.70821.2"
"/product/olfa-blades-lb-50b-heavy-duty-18mm-snap-off","https://keypak.tbkdev.com/product/olfa-blades-heavy-duty-snap-off/","olfa-blades-lb-50b-heavy-duty-18mm-snap-off","olfa-blades-heavy-duty-snap-off","sku_match","1.00","TK.71350.2"
"/product/lbb-50b-ultrama-utility-blade-18mm","https://keypak.tbkdev.com/product/ultra-sharp-utility-blade-2/","lbb-50b-ultrama-utility-blade-18mm","ultra-sharp-utility-blade","sku_match","1.00","TK.71351.2"
"/product/utility-metal-cutter","https://keypak.tbkdev.com/product/utility-metal-cutter/","utility-metal-cutter","utility-metal-cutter","sku_match","1.00","TK.72360.1"
"/product/klever-x-change-package-opener-double-sided-head","https://keypak.tbkdev.com/product/klever-x-change-package-opener-double-sided-head/","klever-x-change-package-opener-double-sided-head","klever-x-change-package-opener-double-sided-head","sku_match","1.00","TK.50010.8"
"/product/klever-x-change-package-opener-double-sided-head-2","https://keypak.tbkdev.com/product/klever-x-change-package-opener-double-sided-head-2/","klever-x-change-package-opener-double-sided-head","klever-x-change-package-opener-double-sided-head","sku_match","1.00","TK.50011.8"
"/product/klever-x-change-package-opener-double-sided-head-3","https://keypak.tbkdev.com/product/klever-x-change-package-opener-double-sided-head-3/","klever-x-change-package-opener-double-sided-head","klever-x-change-package-opener-double-sided-head","sku_match","1.00","TK.50012.8"
"/product/klever-x-change-package-opener-double-sided-head-4","https://keypak.tbkdev.com/product/klever-x-change-package-opener/","klever-x-change-package-opener-double-sided-head","klever-x-change-package-opener","sku_match","1.00","TK.50013.8"
"/product/klever-excel-double-sided-cutter","https://keypak.tbkdev.com/product/klever-excel-double-sided-cutter/","klever-excel-double-sided-cutter","klever-excel-double-sided-cutter","sku_match","1.00","TK.50040.8"
